run,nx,time,latent_dim,patience,best_optimality,literature_optimality,diff,eff
4,[3],0:00:10.290486,2,100,386.534,386.408,0.126,99.97
4,[4],0:00:12.442006,2,100,246.927,246.869,0.058,99.98
4,[8],0:00:09.033832,2,100,218.54,218.479,0.061,99.97
4,[16],0:00:13.649370,7,100,209.857,208.843,1.014,99.52
4,[100],0:00:22.792252,40,100,206.993,206.884,0.109,99.95
8,[3],0:00:06.551307,2,100,189.776,189.766,0.01,99.99
8,[4],0:00:07.631096,5,100,103.65,103.553,0.097,99.91
8,[8],0:00:04.859124,2,100,100.845,99.109,1.736,98.28
8,[16],0:00:05.216394,4,100,98.212,97.408,0.804,99.18
8,[100],0:00:19.509685,15,100,96.725,96.709,0.016,99.98
12,[3],0:00:06.803127,3,100,126.479,126.409,0.07,99.94
12,[4],0:00:06.134439,1,100,67.749,67.735,0.014,99.98
12,[8],0:00:12.725444,3,100,65.663,65.217,0.446,99.32
12,[16],0:00:05.876656,10,100,64.051,63.61,0.441,99.31
12,[100],0:00:30.775996,10,100,63.038,63.028,0.01,99.98
