Run,nx,Optimal CR,Execution Time (s),Latent Dim,Alpha,Designs
4,3,386.411,14.13615,2,0.001,6000
4,4,246.929,23.343301,2,0.001,6000
4,8,222.739,42.355511,2,0.001,6000
4,16,209.855,50.830627,3,0.001,6000
4,100,206.888,52.902663,4,0.001,6000
8,3,189.767,18.877621,2,0.001,6000
8,4,109.722,41.657357,2,0.001,6000
8,8,99.11,27.240993,3,0.001,6000
8,16,97.979,48.093637,3,0.001,6000
8,100,96.728,100.517713,4,0.001,6000
12,3,126.704,30.222899,3,0.001,6000
12,4,74.254,24.561541,3,0.001,6000
12,8,66.806,40.955735,3,0.001,6000
12,16,65.161,48.222193,3,0.001,6000
12,100,63.498,171.496054,5,0.001,6000
