Run,nx,Optimal CR,Execution Time (s),Latent Dim,Alpha,Designs
4,3,386.412,15.658595,2,0.001,5000
4,4,246.951,20.683453,2,0.001,1000
4,8,222.741,19.862402,2,0.001,1000
4,16,209.853,23.697275,3,0.001,1000
4,100,206.89,40.323129,4,0.001,1000
8,3,190.237,15.942801,2,0.001,1000
8,4,109.723,20.006087,2,0.001,1000
8,8,99.22,24.412106,3,0.001,1000
8,16,97.979,30.787373,3,0.001,1000
8,100,96.74,78.010844,4,0.001,1000
12,3,126.411,25.387149,3,0.001,1000
12,4,69.635,12.439141,3,0.001,1000
12,8,66.704,28.010708,3,0.1,1000
12,16,65.16,47.11728,3,0.001,5000
12,100,63.426,499.314382,5,0.001,5000
